SIDO_NM,CCG_NM,lon,lat,n_samples
서울특별시,종로구,126.987603570242,37.573643851333,1120
서울특별시,은평구,126.921289715577,37.6104951458477,28
서울특별시,노원구,127.071310535836,37.6544779280111,23
서울특별시,동대문구,127.055379491516,37.5834299912434,24
서울특별시,용산구,126.972774355702,37.539305690091,28
서울특별시,중구,126.978438162822,37.5631136447046,337
서울특별시,성북구,127.017731118273,37.596693944487,29
서울특별시,영등포구,126.906685948052,37.5193873954449,38
서울특별시,강남구,127.042257295521,37.5083593706123,39
서울특별시,송파구,127.118437299936,37.5068928807168,28
서울특별시,강동구,127.133661373987,37.5394624547997,16
서울특별시,광진구,127.076224821577,37.5425589292565,21
서울특별시,서초구,127.012957935948,37.4918801701145,32
서울특별시,강서구,126.839547717443,37.5585060249139,22
서울특별시,강북구,127.022181476513,37.641722600149,19
서울특별시,마포구,126.921845984438,37.5537285316729,51
서울특별시,양천구,126.869491823028,37.522099943802,19
서울특별시,성동구,127.049405311885,37.5520568755812,16
서울특별시,중랑구,127.088684657979,37.5891205605596,13
서울특별시,동작구,126.94533519251,37.5072288988485,14
서울특별시,서대문구,126.944123345095,37.5711714331561,36
서울특별시,관악구,126.934479042818,37.4802319006616,15
서울특별시,금천구,126.890332464549,37.4721699116839,9
서울특별시,도봉구,127.042084641675,37.6593142930213,10
서울특별시,구로구,126.882233879604,37.4916648465121,13
부산광역시,북구,129.010148610306,35.211305301562,57
부산광역시,금정구,129.089313010479,35.2378037203068,72
부산광역시,영도구,129.045560693127,35.0885466621941,28
부산광역시,해운대구,129.157880427654,35.1731072399546,104
부산광역시,부산진구,129.058139545286,35.1567968046828,103
부산광역시,동래구,129.082033684036,35.2022263983963,77
부산광역시,강서구,128.901466351853,35.0951642682184,59
부산광역시,연제구,129.082933454882,35.1863782046177,54
부산광역시,동구,129.046095011403,35.1279397161552,46
부산광역시,사하구,128.971115556362,35.097634339231,92
부산광역시,남구,129.091198321784,35.1346666252177,71
부산광역시,기장군,129.216003978692,35.2671535114484,55
부산광역시,수영구,129.115303525449,35.1620612660601,68
부산광역시,사상구,128.986262716642,35.1611861796744,46
부산광역시,중구,129.03021589597,35.1009917455981,44
부산광역시,서구,129.019745116546,35.0981920291299,24
대구광역시,달서구,128.532548685956,35.839692643293,226
대구광역시,북구,128.571346422386,35.9145805751954,162
대구광역시,중구,128.595791626881,35.8674704808331,98
대구광역시,동구,128.641767248369,35.8785257449035,125
대구광역시,남구,128.584889018449,35.8460753644451,65
대구광역시,군위군,128.584756350533,36.160832538197,11
대구광역시,서구,128.561255955548,35.8726673794604,68
대구광역시,수성구,128.626089696904,35.842577485728,154
대구광역시,달성군,128.460527653538,35.7775824869627,91
인천광역시,남동구,126.715241573528,37.449981961805,1644
인천광역시,부평구,126.72335370452,37.4975920590333,1507
인천광역시,영종구,126.491493603418,37.4887321970702,347
인천광역시,제물포구,126.628489116663,37.4737568782042,842
인천광역시,미추홀구,126.670100716007,37.4570098451805,1496
인천광역시,서해구,126.672456838075,37.5174791849231,1114
인천광역시,옹진군,126.329287303978,37.5289800600073,188
인천광역시,연수구,126.660252732362,37.4143398558917,1025
인천광역시,강화군,126.483864446638,37.7046771305843,591
인천광역시,계양구,126.728475363931,37.5374774690582,927
인천광역시,검단구,126.6700588975,37.5967575446445,319
대전광역시,유성구,127.344041733657,36.3695113603691,281
대전광역시,동구,127.444734034948,36.3370528727207,144
대전광역시,중구,127.411630472392,36.3228504607094,161
대전광역시,서구,127.377056749117,36.3402127234633,318
대전광역시,대덕구,127.430559537406,36.3652026245801,96
울산광역시,남구,129.319334543565,35.5387115322686,303
울산광역시,동구,129.426583812531,35.4984986173474,147
울산광역시,북구,129.357408828222,35.6259598115833,154
울산광역시,울주군,129.239096110062,35.554430074868,210
울산광역시,중구,129.322951441848,35.5596354987833,186
세종특별자치시,세종특별자치시,127.282541731492,36.5214315041967,1000
경기도,안산시 단원구,126.824314035404,37.3181142279082,54
경기도,수원시 영통구,127.051897650441,37.2752569839468,42
경기도,수원시 권선구,126.984594430271,37.262108356152,41
경기도,파주시,126.758069799298,37.7555533939729,82
경기도,여주시,127.633925443744,37.2971468473549,25
경기도,용인시 수지구,127.096780185408,37.3245218587643,24
경기도,남양주시,127.235414307231,37.6539324266828,84
경기도,시흥시,126.782625534932,37.3753216732497,91
경기도,의정부시,127.049251593314,37.7417228999961,62
경기도,평택시,127.062461952377,37.0009195148806,94
경기도,양평군,127.41866851159,37.5122223673843,28
경기도,부천시 소사구,126.795246290153,37.4806001914999,23
경기도,구리시,127.141254500466,37.5977237678811,32
경기도,용인시 기흥구,127.111227732961,37.2764742144791,49
경기도,고양시 일산동구,126.78522622256,37.6620334803437,67
경기도,화성시 병점구,127.040412041495,37.2120054276766,21
경기도,화성시 만세구,126.902683913185,37.1301489965183,51
경기도,이천시,127.451772300615,37.2605345419416,40
경기도,군포시,126.938361024873,37.3601416239845,36
경기도,수원시 팔달구,127.026567408367,37.2698232530765,42
경기도,부천시 원미구,126.776204681675,37.4987372576979,81
경기도,안양시 만안구,126.916942553042,37.3987975075042,40
경기도,양주시,127.07398876848,37.8149920634136,33
경기도,용인시 처인구,127.208006794894,37.2351477430682,46
경기도,성남시 분당구,127.114474029054,37.3863961384182,72
경기도,오산시,127.067903805174,37.1588483058407,28
경기도,안양시 동안구,126.961485105331,37.3934801636431,61
경기도,안성시,127.262104380099,37.0126570389807,32
경기도,고양시 덕양구,126.84677443865,37.647787833077,81
경기도,성남시 수정구,127.138279532076,37.4464099363492,27
